Txn Hash,Method,Block,Date Time (UTC),From,Is SELF,To,Value (ETH),Txn Fee
0x88653b8fcaadd4d2110314f47dc54ac6d790d1cf31d484110febd6afb2506025,Transfer,19384544,2024-03-07 16:39:23,Titan Builder,False,stakefish: Fee Recipient,0.049291219,0.00167698
0x1f952e24a00330d59b55ac972fe19498caa361ed5d84ca5f5d617dbe1bfd8c93,Transfer,19384544,2024-03-07 16:39:23,MEXC: Mexc.com,False,0x77527220...432b07E2F,0.007,0.002058
0xc218b14b89cf2070de50ef54d4e10034c2d2e0587ce6aeb2ddefdab35c18b6e7,Transfer,19384544,2024-03-07 16:39:23,MEXC: Mexc.com,False,0x3e0d4b3d...76A7E0d8e,0.007,0.002058
0x2d2bd541c72e75de84b2bd4f18295f568dc91009c94db9181e4d31da3e05ba6f,Transfer,19384544,2024-03-07 16:39:23,MEXC: Mexc.com,False,0xd0AEEc5B...2dBc7Cac9,0.007,0.002058
0xe4dfdcfd1fc3d36223232ea161aefea634bef576148ad6d92dd5284a2313bdeb,Transfer,19384544,2024-03-07 16:39:23,Binance 14,False,Circle: USDC Token,0.0,0.00369195
0x410bf3842e7c69312a2201809b9e52e4c25f931c705aab773d09c857b32c97cd,Transfer,19384544,2024-03-07 16:39:23,Binance 14,False,Wrapped BTC: WBTC Token,0.0,0.00444608
0x7d20ace7bf0a33938a7a2c4b7a40f72b791a9eaa9fa06e88efa524a9ef45ed34,Flush Forwarder ...,19384544,2024-03-07 16:39:23,CoinList 3,False,CoinList 2,0.0,0.00518152
0xf55f8b86294418734d4f754322a494a5b23cd21cfafe08701b1bb718417e90c3,Flush Forwarder ...,19384544,2024-03-07 16:39:23,CoinList 3,False,CoinList 2,0.0,0.00514418
0xea8c4cb7abfd9a66fec4ad8081de943e41f8fefa068951d03b521882026c50d5,Transfer,19384544,2024-03-07 16:39:23,0xB2765cF1...f98AeCb42,True,0xB2765cF1...f98AeCb42,0.0,0.00167531
0xeff0321ae01e82c090d46f1c9f5f1c667602dc98d6ee7806069119435cc6f3cc,Transfer,19384544,2024-03-07 16:39:23,0x2bb7848C...157985Fb8,False,Circle: USDC Token,0.0,0.00497984
0x80e2eb1cc34ee57c3647368ded2ca3174f48faec0b7342bb315e69989915e17c,Transfer,19384544,2024-03-07 16:39:23,Stake.com,False,0xed3A81e6...39a7B6913,0.180440283,0.00169145
0xc94ac304f3d392131b5edf4974f48217e36e8ab3a65634131d890d865f1e9941,Transfer,19384544,2024-03-07 16:39:23,Stake.com,False,Tether: USDT Stablecoin,0.0,0.00509022
0x06acd0ed129382e835945c89d7ac4d26a18127ed205181cef2b3bfde1a15dcd3,Transfer,19384544,2024-03-07 16:39:23,0xbd0fCcdC...7C77A5BEC,False,0x09018B95...84e643a22,0.06120629,0.00171635
0x0be1103e33753e1ad902c36d01db4de88ee8e56ad4c3dde7f408915aa1dc2758,Transfer,19384544,2024-03-07 16:39:23,0x264bd829...6715997B5,False,0x9765E60D...Ba1c67F01,0.04808351,0.00175438
0x1515373e3a586c39ffc542e684b46a6f5461704a51112113d941e20f9b07d459,Transfer,19384544,2024-03-07 16:39:23,0x0F7AD576...E8Be3D735,False,0xbDBA43F9...11E3dD10C,0.1,0.00167437
0x0d4bacc0aca46898a134fe9e3e33e4a16d48e92fb37249d871057d9ea6452728,Transfer,19384544,2024-03-07 16:39:23,0x5e529078...6d30018dA,False,0xAd595AFC...4F973d420,0.034577152,0.00167437
0x19e936ea0dd2b7ea38b919d78934e60cadaa74bab5bf5c24eb618fe650ca9a63,Take Bid Single,19384544,2024-03-07 16:39:23,0xbF2069ba...a2E523E5c,False,Blur.io: Marketplace 3,0.0,0.01642631
0x003c7a191e20e5410f1180b288761bde5684fffa8e84b6d834e97c8360b8280b,Deposit ETH,19384544,2024-03-07 16:39:23,0x44bfae75...CE372354F,False,0x89341158...4A8c7b2b9,26.0,0.01408546
0xcb80ce8ff63407958d0da9f7e0d81534b3b0aa6caf80717da1fefd2ca0e83cea,Redeem,19384544,2024-03-07 16:39:23,0xd6C17B38...F701e0F99,False,0x68742A0F...e7445Ca46,0.0,0.005808
0x575c485e5e5a736e96eaaa443df44dcdf5428fba7fdbf68b88479563feefd740,Transfer,19384544,2024-03-07 16:39:23,0x49Ea873F...79f93a47b,False,0xA0Ef786B...aC800ff86,0.0,0.00373058
0x30cfcc1a06fb8f5049745d02948c252c84f1070afa672a7ef5a92e9804729f8c,Withdraw,19384544,2024-03-07 16:39:23,0xeE57a6d6...cf0498119,False,Wrapped Ether,0.0,0.00242417
